timesteps,mean_reward,std_reward
8.000000000000000000e+03,1.711055180000000120e-01,4.053625823928667660e-01
1.600000000000000000e+04,1.297995439999999889e-01,3.342299378649555841e-01
2.400000000000000000e+04,9.447569399999999895e-02,4.923227797215444235e-01
3.200000000000000000e+04,2.082736739999999920e-01,1.671771176317731755e-01
4.000000000000000000e+04,2.023063999999999973e-01,1.331506291569814482e-01
4.800000000000000000e+04,2.160884160000000054e-01,2.385639682913975879e-01
5.600000000000000000e+04,2.221259560000000133e-01,2.195037977317159661e-01
6.400000000000000000e+04,2.191404060000000098e-01,1.731732873324669797e-01
7.200000000000000000e+04,2.125546580000000074e-01,2.032780389902584528e-01
8.000000000000000000e+04,2.227304100000000175e-01,2.058375192407883303e-01
